id	layer_index	layer_name	x_um	y_um	fixed_voltage	fixed_voltage_v	injected_current_a	voltage_v
4818	1	metal5	590	412	0	0	0	0.999979
4819	1	metal5	600	412	0	0	0	0.999977
4820	1	metal5	610	412	0	0	0	0.999975
4821	1	metal5	620	412	0	0	0	0.999973
4822	1	metal5	630	412	0	0	0	0.99997
4823	1	metal5	640	412	0	0	0	0.999969
4824	1	metal5	650	412	0	0	0	0.999968
4825	1	metal5	660	412	0	0	0	0.999966
4826	1	metal5	670	412	0	0	0	0.999965
4827	1	metal5	680	412	0	0	0	0.999963
4828	1	metal5	690	412	0	0	0	0.999962
4829	1	metal5	700	412	0	0	0	0.999961
4830	1	metal5	710	412	0	0	0	0.99996
4831	1	metal5	720	412	0	0	0	0.999959
4832	1	metal5	730	412	0	0	0	0.999958
4833	1	metal5	740	412	0	0	0	0.999957
4834	1	metal5	750	412	0	0	0	0.999956
4835	1	metal5	760	412	0	0	0	0.999956
4836	1	metal5	770	412	0	0	0	0.999955
4837	1	metal5	780	412	0	0	0	0.999954
4838	1	metal5	790	412	0	0	0	0.999954
4839	1	metal5	800	412	0	0	0	0.999953
4840	1	metal5	810	412	0	0	0	0.999953
4841	1	metal5	820	412	0	0	0	0.999953
4842	1	metal5	830	412	0	0	0	0.999952
4843	1	metal5	840	412	0	0	0	0.999951
4844	1	metal5	850	412	0	0	0	0.999951
4845	1	metal5	860	412	0	0	0	0.999951
4846	1	metal5	870	412	0	0	0	0.99995
4847	1	metal5	880	412	0	0	0	0.99995
4848	1	metal5	890	412	0	0	0	0.99995
4849	1	metal5	900	412	0	0	0	0.999949
4850	1	metal5	910	412	0	0	0	0.999949
4851	1	metal5	920	412	0	0	0	0.999949
4852	1	metal5	930	412	0	0	0	0.999949
4853	1	metal5	940	412	0	0	0	0.999949
4854	1	metal5	950	412	0	0	0	0.999948
4855	1	metal5	960	412	0	0	0	0.999948
4856	1	metal5	970	412	0	0	0	0.999948
4857	1	metal5	980	412	0	0	0	0.999948
4858	1	metal5	990	412	0	0	0	0.999948
4859	1	metal5	1000	412	0	0	0	0.999948
4860	1	metal5	1010	412	0	0	0	0.999948
4861	1	metal5	1020	412	0	0	0	0.999947
4862	1	metal5	1030	412	0	0	0	0.999947
4863	1	metal5	1040	412	0	0	0	0.999947
4864	1	metal5	1050	412	0	0	0	0.999947
4865	1	metal5	1060	412	0	0	0	0.999947
4866	1	metal5	1070	412	0	0	0	0.999947
4867	1	metal5	1080	412	0	0	0	0.999947
4868	1	metal5	1090	412	0	0	0	0.999947
4869	1	metal5	10	422	0	0	0	0.999945
4870	1	metal5	20	422	0	0	0	0.999945
4871	1	metal5	30	422	0	0	0	0.999945
4872	1	metal5	40	422	0	0	0	0.999945
4873	1	metal5	50	422	0	0	0	0.999945
4874	1	metal5	60	422	0	0	0	0.999945
4875	1	metal5	70	422	0	0	0	0.999945
4876	1	metal5	80	422	0	0	0	0.999945
4877	1	metal5	90	422	0	0	0	0.999945
4878	1	metal5	100	422	0	0	0	0.999946
4879	1	metal5	110	422	0	0	0	0.999946
4880	1	metal5	120	422	0	0	0	0.999946
4881	1	metal5	130	422	0	0	0	0.999946
4882	1	metal5	140	422	0	0	0	0.999947
4883	1	metal5	150	422	0	0	0	0.999947
4884	1	metal5	160	422	0	0	0	0.999947
4885	1	metal5	170	422	0	0	0	0.999947
4886	1	metal5	180	422	0	0	0	0.999948
4887	1	metal5	190	422	0	0	0	0.999948
4888	1	metal5	200	422	0	0	0	0.999948
4889	1	metal5	210	422	0	0	0	0.999949
4890	1	metal5	220	422	0	0	0	0.999949
4891	1	metal5	230	422	0	0	0	0.99995
4892	1	metal5	240	422	0	0	0	0.99995
4893	1	metal5	250	422	0	0	0	0.999951
4894	1	metal5	260	422	0	0	0	0.999951
4895	1	metal5	270	422	0	0	0	0.999952
4896	1	metal5	280	422	0	0	0	0.999952
4897	1	metal5	290	422	0	0	0	0.999953
4898	1	metal5	300	422	0	0	0	0.999954
4899	1	metal5	310	422	0	0	0	0.999954
4900	1	metal5	320	422	0	0	0	0.999955
4901	1	metal5	330	422	0	0	0	0.999956
4902	1	metal5	340	422	0	0	0	0.999957
4903	1	metal5	350	422	0	0	0	0.999957
4904	1	metal5	360	422	0	0	0	0.999958
4905	1	metal5	370	422	0	0	0	0.99996
4906	1	metal5	380	422	0	0	0	0.99996
4907	1	metal5	390	422	0	0	0	0.999961
4908	1	metal5	400	422	0	0	0	0.999963
4909	1	metal5	410	422	0	0	0	0.999964
4910	1	metal5	420	422	0	0	0	0.999965
4911	1	metal5	430	422	0	0	0	0.999967
4912	1	metal5	440	422	0	0	0	0.999968
4913	1	metal5	450	422	0	0	0	0.999969
4914	1	metal5	460	422	0	0	0	0.999971
4915	1	metal5	470	422	0	0	0	0.999972
4916	1	metal5	480	422	0	0	0	0.999974
4917	1	metal5	490	422	0	0	0	0.999976
4918	1	metal5	500	422	0	0	0	0.999977
4919	1	metal5	510	422	0	0	0	0.999979
4920	1	metal5	520	422	0	0	0	0.999982
4921	1	metal5	530	422	0	0	0	0.999983
4922	1	metal5	540	422	0	0	0	0.999984
4923	1	metal5	550	422	0	0	0	0.999986
4924	1	metal5	560	422	0	0	0	0.999984
4925	1	metal5	570	422	0	0	0	0.999982
4926	1	metal5	580	422	0	0	0	0.999981
4927	1	metal5	590	422	0	0	0	0.999979
4928	1	metal5	600	422	0	0	0	0.999978
4929	1	metal5	610	422	0	0	0	0.999976
4930	1	metal5	620	422	0	0	0	0.999974
4931	1	metal5	630	422	0	0	0	0.999971
4932	1	metal5	640	422	0	0	0	0.99997
4933	1	metal5	650	422	0	0	0	0.999968
4934	1	metal5	660	422	0	0	0	0.999967
4935	1	metal5	670	422	0	0	0	0.999966
4936	1	metal5	680	422	0	0	0	0.999964
4937	1	metal5	690	422	0	0	0	0.999963
4938	1	metal5	700	422	0	0	0	0.999962
4939	1	metal5	710	422	0	0	0	0.999961
4940	1	metal5	720	422	0	0	0	0.99996
4941	1	metal5	730	422	0	0	0	0.999959
4942	1	metal5	740	422	0	0	0	0.999958
4943	1	metal5	750	422	0	0	0	0.999957
4944	1	metal5	760	422	0	0	0	0.999956
4945	1	metal5	770	422	0	0	0	0.999956
4946	1	metal5	780	422	0	0	0	0.999955
4947	1	metal5	790	422	0	0	0	0.999954
4948	1	metal5	800	422	0	0	0	0.999954
4949	1	metal5	810	422	0	0	0	0.999953
4950	1	metal5	820	422	0	0	0	0.999953
4951	1	metal5	830	422	0	0	0	0.999952
4952	1	metal5	840	422	0	0	0	0.999952
4953	1	metal5	850	422	0	0	0	0.999951
4954	1	metal5	860	422	0	0	0	0.999951
4955	1	metal5	870	422	0	0	0	0.999951
4956	1	metal5	880	422	0	0	0	0.999951
4957	1	metal5	890	422	0	0	0	0.99995
4958	1	metal5	900	422	0	0	0	0.99995
4959	1	metal5	910	422	0	0	0	0.99995
4960	1	metal5	920	422	0	0	0	0.999949
4961	1	metal5	930	422	0	0	0	0.999949
4962	1	metal5	940	422	0	0	0	0.999949
4963	1	metal5	950	422	0	0	0	0.999949
4964	1	metal5	960	422	0	0	0	0.999948
4965	1	metal5	970	422	0	0	0	0.999948
4966	1	metal5	980	422	0	0	0	0.999948
4967	1	metal5	990	422	0	0	0	0.999948
4968	1	metal5	1000	422	0	0	0	0.999948
4969	1	metal5	1010	422	0	0	0	0.999948
4970	1	metal5	1020	422	0	0	0	0.999948
4971	1	metal5	1030	422	0	0	0	0.999948
4972	1	metal5	1040	422	0	0	0	0.999948
4973	1	metal5	1050	422	0	0	0	0.999948
4974	1	metal5	1060	422	0	0	0	0.999947
4975	1	metal5	1070	422	0	0	0	0.999947
4976	1	metal5	1080	422	0	0	0	0.999947
