layer	ix	iy	x_um	y_um	i_soft_A	i_hard_A	i_total_A	v_V	is_vsrc
metal1	18	16	880.07	58.8	0.00176293	0	0.00176293	1.09534	0
metal1	19	16	936.07	58.8	0	0	0	1.09659	0
metal1	20	16	992.07	58.8	0	0	0	1.09784	0
metal1	21	16	1048.07	58.8	0	0	0	1.09909	0
metal1	22	16	1086.21	58.8	0	0	0	1.09999	0
metal1	0	17	14.095	61.6	0	0	0	1.09998	0
metal1	1	17	40.07	61.6	0	0	0	1.09951	0
metal1	2	17	96.07	61.6	0	0	0	1.0985	0
metal1	3	17	108.455	61.6	0	0	0	1.0983	0
metal1	4	17	109.295	61.6	0	0	0	1.09828	0
metal1	5	17	152.07	61.6	0	0	0	1.09758	0
metal1	6	17	208.07	61.6	0	0	0	1.09667	0
metal1	7	17	264.07	61.6	0	0	0	1.09578	0
metal1	8	17	320.07	61.6	0.000495644	0	0.000495644	1.0949	0
metal1	9	17	376.07	61.6	0.000518272	0	0.000518272	1.09407	0
metal1	10	17	432.07	61.6	0.00233621	0	0.00233621	1.09324	0
metal1	11	17	488.07	61.6	0.00243178	0	0.00243178	1.09269	0
metal1	12	17	544.07	61.6	0.00243178	0	0.00243178	1.09237	0
metal1	13	17	600.07	61.6	0.00243178	0	0.00243178	1.09228	0
metal1	14	17	656.07	61.6	0.00243178	0	0.00243178	1.09242	0
metal1	15	17	712.07	61.6	0.00243178	0	0.00243178	1.09278	0
metal1	16	17	768.07	61.6	0.00243178	0	0.00243178	1.09338	0
metal1	17	17	824.07	61.6	0.00243178	0	0.00243178	1.09421	0
metal1	18	17	880.07	61.6	0.00176293	0	0.00176293	1.09529	0
metal1	19	17	936.07	61.6	0	0	0	1.09657	0
metal1	20	17	992.07	61.6	0	0	0	1.09783	0
metal1	21	17	1048.07	61.6	0	0	0	1.09909	0
metal1	22	17	1086.21	61.6	0	0	0	1.09997	0
metal1	0	18	14.095	64.4	0	0	0	1.09995	0
metal1	1	18	40.07	64.4	0	0	0	1.0995	0
metal1	2	18	96.07	64.4	0	0	0	1.09849	0
metal1	3	18	108.455	64.4	0	0	0	1.09828	0
metal1	4	18	109.295	64.4	0	0	0	1.09827	0
metal1	5	18	152.07	64.4	0	0	0	1.09756	0
