net	sig_type	shape_kind	layer	llx_um	lly_um	urx_um	ury_um	cx_um	cy_um
VDD	POWER	via	?	61.43	1073.56	61.71	1074.49	61.57	1074.025
VDD	POWER	via	?	61.43	1063.56	61.71	1064.49	61.57	1064.025
VDD	POWER	via	?	61.43	1053.56	61.71	1054.49	61.57	1054.025
VDD	POWER	via	?	61.43	1043.56	61.71	1044.49	61.57	1044.025
VDD	POWER	via	?	61.43	1033.56	61.71	1034.49	61.57	1034.025
VDD	POWER	via	?	61.43	1023.56	61.71	1024.49	61.57	1024.025
VDD	POWER	via	?	56.95	1073.56	57.23	1074.49	57.09	1074.025
VDD	POWER	via	?	56.95	1063.56	57.23	1064.49	57.09	1064.025
VDD	POWER	via	?	56.95	1053.56	57.23	1054.49	57.09	1054.025
VDD	POWER	via	?	56.95	1043.56	57.23	1044.49	57.09	1044.025
VDD	POWER	via	?	56.95	1033.56	57.23	1034.49	57.09	1034.025
VDD	POWER	via	?	56.95	1023.56	57.23	1024.49	57.09	1024.025
VDD	POWER	via	?	52.47	1073.56	52.75	1074.49	52.61	1074.025
VDD	POWER	via	?	52.47	1063.56	52.75	1064.49	52.61	1064.025
VDD	POWER	via	?	52.47	1053.56	52.75	1054.49	52.61	1054.025
VDD	POWER	via	?	52.47	1043.56	52.75	1044.49	52.61	1044.025
VDD	POWER	via	?	52.47	1033.56	52.75	1034.49	52.61	1034.025
VDD	POWER	via	?	52.47	1023.56	52.75	1024.49	52.61	1024.025
VDD	POWER	via	?	47.99	1073.56	48.27	1074.49	48.13	1074.025
VDD	POWER	via	?	47.99	1063.56	48.27	1064.49	48.13	1064.025
VDD	POWER	via	?	47.99	1053.56	48.27	1054.49	48.13	1054.025
VDD	POWER	via	?	47.99	1043.56	48.27	1044.49	48.13	1044.025
VDD	POWER	via	?	47.99	1033.56	48.27	1034.49	48.13	1034.025
VDD	POWER	via	?	47.99	1023.56	48.27	1024.49	48.13	1024.025
VDD	POWER	via	?	43.51	1073.56	43.79	1074.49	43.65	1074.025
VDD	POWER	via	?	43.51	1063.56	43.79	1064.49	43.65	1064.025
VDD	POWER	via	?	43.51	1053.56	43.79	1054.49	43.65	1054.025
VDD	POWER	via	?	43.51	1043.56	43.79	1044.49	43.65	1044.025
VDD	POWER	via	?	43.51	1033.56	43.79	1034.49	43.65	1034.025
VDD	POWER	via	?	43.51	1023.56	43.79	1024.49	43.65	1024.025
VDD	POWER	via	?	39.03	1073.56	39.31	1074.49	39.17	1074.025
VDD	POWER	via	?	39.03	1063.56	39.31	1064.49	39.17	1064.025
